Defect_name,Defect_group,multiplicity,defect_site,Charge,energy,corrections,Pu,O,Cl,N,H
SD_Cl (011) 0,SD_Cl (011),24,5,0,-1132.186231,0,1,2,-1,0,0
SD_Cl (011) 1,SD_Cl (011),24,5,1,-1140.025103,-0.32742134,1,2,-1,0,0
SD_Cl (111) -1,SD_Cl (111),24,5,-1,-1124.230783,0.394857015,1,2,-1,0,0
SD_Cl (111) 0,SD_Cl (111),24,5,0,-1132.090517,0,1,2,-1,0,0
SD_Cl (111) 1,SD_Cl (111),24,5,1,-1139.950943,-0.308841363,1,2,-1,0,0
N_{O}^{2+},N_{O},2,1,2,-1186.220332,0.262336824,0,1,0,-1,0
N_{O}^{1+},N_{O},2,1,1,-1178.128279,0.06471308,0,1,0,-1,0
N_{O}^{0},N_{O},2,1,0,-1169.793435,0,0,1,0,-1,0
N_{O}^{1-},N_{O},2,1,-1,-1161.248095,0.087806207,0,1,0,-1,0
N_{O}^{2-},N_{O},2,1,-2,-1151.533084,0.382343495,0,1,0,-1,0
N_{O}^{3-},N_{O},2,1,-3,-1141.779008,0.853681777,0,1,0,-1,0
N_{i}^{3+},N_i,1,3,3,-1201.395794,0.854181085,0,0,0,-1,0
N_{i}^{2+},N_i,1,3,2,-1193.187214,0.418968286,0,0,0,-1,0
N_{i}^{1+},N_i,1,3,1,-1184.718309,0.130591264,0,0,0,-1,0
N_{i}^{0},N_i,1,3,0,-1175.130284,0,0,0,0,-1,0
N_{i}^{1-},N_i,1,3,-1,-1166.058012,0.03464105,0,0,0,-1,0
N_{i}^{2-},N_i,1,3,-2,-1156.263837,0.273796574,0,0,0,-1,0
N_{i}^{3-},N_i,1,3,-3,-1146.321962,0.314574037,0,0,0,-1,0
N_{Pu}^{3-},N_{Pu},1,2,-4,-1114.199449,2.28424929,1,0,0,-1,0
N_{Pu}^{3-},N_{Pu},1,2,-3,-1123.459147,1.219038858,1,0,0,-1,0
N_{Pu}^{2-},N_{Pu},1,2,-2,-1132.832935,0.923932305,1,0,0,-1,0
N_{Pu}^{1-},N_{Pu},1,2,-1,-1141.854442,0.377589897,1,0,0,-1,0
N_{Pu}^{0},N_{Pu},1,2,0,-1149.759759,0,1,0,0,-1,0
N_{Pu}^{1+},N_{Pu},1,2,1,-1157.677498,-0.289719497,1,0,0,-1,0
NO:VO2+,NO:VO,12,6,2,-1179.819968,0.211715363,0,2,0,-1,0
NO:VO1+,NO:VO,12,6,1,-1171.381483,0.03341072,0,2,0,-1,0
NO:VO0,NO:VO,12,6,0,-1161.904889,0,0,2,0,-1,0
NO:VO1-,NO:VO,12,6,-1,-1152.406722,0.125584697,0,2,0,-1,0
NO:VPu5-,NO:Vpu,8,5,-5,-1098.984596,3.846965348,1,1,0,-1,0
NO:VPu4-,NO:Vpu,8,5,-4,-1107.752696,2.729585649,1,1,0,-1,0
NO:VPu3-,NO:Vpu,8,5,-3,-1116.079276,1.813310722,1,1,0,-1,0
NO:VPu2-,NO:Vpu,8,5,-2,-1124.095774,1.06330632,1,1,0,-1,0
NO:VPu1-,NO:Vpu,8,5,-1,-1131.89781,0.488966584,1,1,0,-1,0
NO:VPu0,NO:Vpu,8,5,0,-1139.597791,0,1,1,0,-1,0
SD_N (001) -3,SD_N (001),24,4,-3,-1109.617524,1.952811129,1,2,0,-1,0
SD_N (001) -2,SD_N (001),24,4,-2,-1118.195056,1.146628129,1,2,0,-1,0
SD_N (001) -1,SD_N (001),24,4,-1,-1126.418702,0.50458246,1,2,0,-1,0
SD_N (001) 0,SD_N (001),24,4,0,-1134.14782,0,1,2,0,-1,0
SD_N (011) -3,SD_N (011),24,4,-3,-1109.467559,1.94073315,1,2,0,-1,0
SD_N (011) -2,SD_N (011),24,4,-2,-1118.212835,1.118768205,1,2,0,-1,0
SD_N (011) -1,SD_N (011),24,4,-1,-1126.539699,0.483136873,1,2,0,-1,0
SD_N (011) 0,SD_N (011),24,4,0,-1134.472337,0,1,2,0,-1,0
SD_N (111) -3,SD_N (111),8,4,-3,-1109.42348,1.887736722,1,2,0,-1,0
SD_N (111) -2,SD_N (111),8,4,-2,-1118.245331,1.118768205,1,2,0,-1,0
SD_N (111) -1,SD_N (111),8,4,-1,-1126.519141,0.483136873,1,2,0,-1,0
SD_N (111) 0,SD_N (111),8,4,0,-1134.492518,0,1,2,0,-1,0
H_{O}^{2+},H_{O},2,1,2,-1183.322252,0.195398894,0,1,0,0,-1
H_{O}^{1+},H_{O},2,1,1,-1175.495344,0.052986941,0,1,0,0,-1
H_{O}^{0},H_{O},2,1,0,-1165.909425,0,0,1,0,0,-1
H_{O}^{1-},H_{O},2,1,-1,-1156.32827,0.122838039,0,1,0,0,-1
H_{i}^{1+},H_i,1,3,1,-1183.20499,0.105690135,0,0,0,0,-1
H_{i}^{0},H_i,1,3,0,-1173.604463,0,0,0,0,0,-1
H_{i}^{1-},H_i,1,3,-1,-1163.906179,0.063352928,0,0,0,0,-1
H_{Pu}^{4-},H_{Pu},1,3,-4,-1113.610999,2.328308641,1,0,0,0,-1
H_{Pu}^{3-},H_{Pu},1,3,-3,-1122.890728,1.703547398,1,0,0,0,-1
H_{Pu}^{2-},H_{Pu},1,3,-2,-1130.60016,1.029093608,1,0,0,0,-1
H_{Pu}^{1-},H_{Pu},1,3,-1,-1138.481405,0.467464347,1,0,0,0,-1
H_{Pu}^{0},H_{Pu},1,3,0,-1146.289842,0,1,0,0,0,-1
H_{Pu}^{1+},H_{Pu},1,3,1,-1153.954138,-0.367722841,1,0,0,0,-1
HO:VO1-,HO:VO,12,4,-1,-1147.423778,0.158527139,0,2,0,0,-1
HO:VO0,HO:VO,12,4,0,-1156.872361,0,0,2,0,0,-1
HO:VO1+,HO:VO,12,4,1,-1166.345867,-0.014792012,0,2,0,0,-1
HO:VO2+,HO:VO,12,4,2,-1175.513748,0.167428539,0,2,0,0,-1
HO:VO3+,HO:VO,12,4,3,-1184.902763,0.494448409,0,2,0,0,-1
HO:Vpu4-,HO:Vpu,8,4,-4,-1104.288233,2.783605777,1,1,0,0,-1
HO:Vpu3-,HO:Vpu,8,4,-3,-1113.761918,1.906994695,1,1,0,0,-1
HO:Vpu2-,HO:Vpu,8,4,-2,-1121.543254,1.129429679,1,1,0,0,-1
HO:Vpu1-,HO:Vpu,8,4,-1,-1129.320598,0.508463452,1,1,0,0,-1
HO:Vpu0,HO:Vpu,8,4,0,-1137.024856,0,1,1,0,0,-1
SD_HO (001) -1,SD_HO (001),24,5,-1,-1123.805851,0.512611031,1,2,0,0,-1
SD_HO (001) 0,SD_HO (001),24,5,0,-1131.552819,0,1,2,0,0,-1
SD_HO (001) 1,SD_HO (001),24,5,1,-1139.19066,-0.430843408,1,2,0,0,-1
SD_HO (011) -1,SD_HO (011),24,5,-1,-1124.146359,0.495886677,1,2,0,0,-1
SD_HO (011) 0,SD_HO (011),24,5,0,-1131.859447,0,1,2,0,0,-1
SD_HO (011) 1,SD_HO (011),24,5,1,-1139.547612,-0.421418424,1,2,0,0,-1
SD_HO (111) -1,SD_HO (111),24,5,-1,-1124.088259,0.50578449,1,2,0,0,-1
SD_HO (111) 0,SD_HO (111),24,5,0,-1131.871803,0,1,2,0,0,-1
SD_HO (111) 1,SD_HO (111),24,5,1,-1139.488051,-0.399097121,1,2,0,0,-1
SD_Hi (001) -1,SD_Hi 0(01),24,5,-1,-1125.09039,0.486783532,1,2,0,0,-1
SD_Hi (001) 0,SD_Hi (001),24,5,0,-1134.079065,0,1,2,0,0,-1
SD_Hi (001) 1,SD_Hi (001),24,5,1,-1142.946401,-0.333930372,1,2,0,0,-1
SD_Hi (011) -1,SD_Hi (011),24,5,-1,-1125.308997,0.481950738,1,2,0,0,-1
SD_Hi (011) 0,SD_Hi (011),24,5,0,-1134.347075,0,1,2,0,0,-1
SD_Hi (011) 1,SD_Hi (011),24,5,1,-1143.299458,-0.331021367,1,2,0,0,-1
SD_Hi (111) -1,SD_Hi (111),24,5,-1,-1125.146838,0.476804016,1,2,0,0,-1
SD_Hi (111) 0,SD_Hi (111),24,5,0,-1134.373638,0,1,2,0,0,-1
SD_Hi (111) 1,SD_Hi (111),24,5,1,-1143.383468,-0.341648507,1,2,0,0,-1
